providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:39.674Z,2026-09-02T19:01:39.454Z,2026-09-02T19:01:39.674Z,281,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,181
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:45.526Z,2026-09-02T19:01:45.290Z,2026-09-02T19:01:45.526Z,286,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,186
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:51.285Z,2026-09-02T19:01:50.993Z,2026-09-02T19:01:51.285Z,291,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,191
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:57.205Z,2026-09-02T19:01:56.972Z,2026-09-02T19:01:57.205Z,296,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,196
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:03.161Z,2026-09-02T19:02:02.764Z,2026-09-02T19:02:03.161Z,301,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,201
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:08.905Z,2026-09-02T19:02:08.660Z,2026-09-02T19:02:08.905Z,306,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,206
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:14.934Z,2026-09-02T19:02:14.629Z,2026-09-02T19:02:14.934Z,337,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,217
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:20.752Z,2026-09-02T19:02:20.483Z,2026-09-02T19:02:20.752Z,342,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,222
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:26.617Z,2026-09-02T19:02:26.398Z,2026-09-02T19:02:26.617Z,347,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,227
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:32.648Z,2026-09-02T19:02:32.227Z,2026-09-02T19:02:32.648Z,352,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,232
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:38.941Z,2026-09-02T19:02:38.653Z,2026-09-02T19:02:38.941Z,357,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,237
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:44.730Z,2026-09-02T19:02:44.485Z,2026-09-02T19:02:44.730Z,362,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,242
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:50.829Z,2026-09-02T19:02:50.543Z,2026-09-02T19:02:50.829Z,393,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,253
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:02:56.638Z,2026-09-02T19:02:56.365Z,2026-09-02T19:02:56.638Z,398,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,258
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:03:02.397Z,2026-09-02T19:03:02.121Z,2026-09-02T19:03:02.397Z,403,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,263
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:03:08.475Z,2026-09-02T19:03:07.953Z,2026-09-02T19:03:08.475Z,408,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,268
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:03:14.327Z,2026-09-02T19:03:14.077Z,2026-09-02T19:03:14.327Z,413,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,273
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:03:20.417Z,2026-09-02T19:03:20.133Z,2026-09-02T19:03:20.417Z,418,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,278
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:03:26.994Z,2026-09-02T19:03:26.754Z,2026-09-02T19:03:26.994Z,449,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,289
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:03:24.000Z,2026-09-02T19:03:33.385Z,2026-09-02T19:03:32.510Z,2026-09-02T19:03:33.385Z,454,0,"{""value"":0,""timestamp"":""2026-09-02T19:03:24Z""}",,,,,,,,294
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:03:24.000Z,2026-09-02T19:03:39.521Z,2026-09-02T19:03:39.031Z,2026-09-02T19:03:39.521Z,459,0,"{""value"":0,""timestamp"":""2026-09-02T19:03:24Z""}",,,,,,,,299
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:03:41.000Z,2026-09-02T19:03:45.421Z,2026-09-02T19:03:45.176Z,2026-09-02T19:03:45.421Z,464,0,"{""value"":0,""timestamp"":""2026-09-02T19:03:41Z""}",,,,,,,,304
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:03:39.522Z,2026-09-02T19:03:45.616Z,2026-09-02T19:03:45.423Z,2026-09-02T19:03:45.616Z,469,0,0,7a857fc2ba8835aa60a32e82cd65247b04df636d4727452c3f0379abf708b7a2,1s,AVG,7a857fc2ba8835aa60a32e82cd65247b04df636d4727452c3f0379abf708b7a2,2026-09-02T19:03:37.522Z,2026-09-02T19:03:45.423Z,2026-09-02T19:03:45.423Z,309
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:03:40.522Z,2026-09-02T19:03:45.616Z,2026-09-02T19:03:45.423Z,2026-09-02T19:03:45.616Z,474,0,0,cb85d2abb6f4fe326bf8e4bfd967f19c167db7b91ad945684ecf1aa826e2845e,1s,AVG,cb85d2abb6f4fe326bf8e4bfd967f19c167db7b91ad945684ecf1aa826e2845e,2026-09-02T19:03:37.522Z,2026-09-02T19:03:45.423Z,2026-09-02T19:03:45.423Z,314
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:03:46.000Z,2026-09-02T19:03:51.189Z,2026-09-02T19:03:50.897Z,2026-09-02T19:03:51.189Z,479,39.21568627450981,"{""value"":39.21568627450981,""timestamp"":""2026-09-02T19:03:46Z""}",,,,,,,,319
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:03:44.423Z,2026-09-02T19:03:51.378Z,2026-09-02T19:03:51.190Z,2026-09-02T19:03:51.378Z,484,39.21568627450981,39.21568627450981,50b61b189ecfe8541ae6f6e1504ff88cfa7cad5e32b39ec242a436086717ba11,1s,AVG,50b61b189ecfe8541ae6f6e1504ff88cfa7cad5e32b39ec242a436086717ba11,2026-09-02T19:03:43.423Z,2026-09-02T19:03:51.190Z,2026-09-02T19:03:51.190Z,324
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:03:45.423Z,2026-09-02T19:03:51.378Z,2026-09-02T19:03:51.190Z,2026-09-02T19:03:51.378Z,489,39.21568627450981,39.21568627450981,86cdafad9d8f25d535afa099b3d5e22f5c2d0594902020ce6b1dc70236815d7f,1s,AVG,86cdafad9d8f25d535afa099b3d5e22f5c2d0594902020ce6b1dc70236815d7f,2026-09-02T19:03:43.423Z,2026-09-02T19:03:51.190Z,2026-09-02T19:03:51.190Z,329
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:03:53.000Z,2026-09-02T19:03:56.904Z,2026-09-02T19:03:56.660Z,2026-09-02T19:03:56.904Z,494,32.54901960784314,"{""value"":32.54901960784314,""timestamp"":""2026-09-02T19:03:53Z""}",,,,,,,,334
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:03:49.190Z,2026-09-02T19:03:57.120Z,2026-09-02T19:03:56.905Z,2026-09-02T19:03:57.120Z,499,36.07843137254902,36.07843137254902,50ea454eb7faa3fdd58a13a4a6c061d1cf36ccd62c1b76425eba98eb9bd01c4f,1s,AVG,50ea454eb7faa3fdd58a13a4a6c061d1cf36ccd62c1b76425eba98eb9bd01c4f,2026-09-02T19:03:49.190Z,2026-09-02T19:03:56.905Z,2026-09-02T19:03:56.905Z,339
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:03:52.190Z,2026-09-02T19:03:57.120Z,2026-09-02T19:03:56.905Z,2026-09-02T19:03:57.120Z,504,32.54901960784314,32.54901960784314,0e72bedaaf57b121e8a5c7856f8c5fbb659470b2f3c3cad216cd80160caccbf7,1s,AVG,0e72bedaaf57b121e8a5c7856f8c5fbb659470b2f3c3cad216cd80160caccbf7,2026-09-02T19:03:49.190Z,2026-09-02T19:03:56.905Z,2026-09-02T19:03:56.905Z,344
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:03:57.000Z,2026-09-02T19:04:02.951Z,2026-09-02T19:04:02.688Z,2026-09-02T19:04:02.951Z,535,6.274509803921569,"{""value"":6.274509803921569,""timestamp"":""2026-09-02T19:03:57Z""}",,,,,,,,355
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:03:56.905Z,2026-09-02T19:04:03.167Z,2026-09-02T19:04:02.952Z,2026-09-02T19:04:03.167Z,540,6.274509803921569,6.274509803921569,9df789239450fd7998e890d97c2139362ddcb1ebc3162c8399fb0d623488733e,1s,AVG,9df789239450fd7998e890d97c2139362ddcb1ebc3162c8399fb0d623488733e,2026-09-02T19:03:54.905Z,2026-09-02T19:04:02.952Z,2026-09-02T19:04:02.952Z,360
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:04:04.000Z,2026-09-02T19:04:08.756Z,2026-09-02T19:04:08.514Z,2026-09-02T19:04:08.756Z,544,0,"{""value"":0,""timestamp"":""2026-09-02T19:04:04Z""}",,,,,,,,364
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:04:03.952Z,2026-09-02T19:04:09.005Z,2026-09-02T19:04:08.760Z,2026-09-02T19:04:09.005Z,549,0,0,caaeef67959dccc0192db255171c57626b3afffe27d9da5636572053264c1676,1s,AVG,caaeef67959dccc0192db255171c57626b3afffe27d9da5636572053264c1676,2026-09-02T19:04:00.952Z,2026-09-02T19:04:08.760Z,2026-09-02T19:04:08.760Z,369
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:04:10.000Z,2026-09-02T19:04:14.643Z,2026-09-02T19:04:14.347Z,2026-09-02T19:04:14.643Z,554,0,"{""value"":0,""timestamp"":""2026-09-02T19:04:10Z""}",,,,,,,,374
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:04:07.760Z,2026-09-02T19:04:14.991Z,2026-09-02T19:04:14.644Z,2026-09-02T19:04:14.991Z,559,0,0,f922a6208cf4d5dcc458f95130dcadeb38d1b23c7503f784eae6b1b7bc774ac2,1s,AVG,f922a6208cf4d5dcc458f95130dcadeb38d1b23c7503f784eae6b1b7bc774ac2,2026-09-02T19:04:06.760Z,2026-09-02T19:04:14.644Z,2026-09-02T19:04:14.644Z,379
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:04:09.760Z,2026-09-02T19:04:14.991Z,2026-09-02T19:04:14.644Z,2026-09-02T19:04:14.991Z,564,0,0,c85ad2420ae7f0d3f18a36985de167a04b29c4bbd78acf38a3135c5179987fd3,1s,AVG,c85ad2420ae7f0d3f18a36985de167a04b29c4bbd78acf38a3135c5179987fd3,2026-09-02T19:04:06.760Z,2026-09-02T19:04:14.644Z,2026-09-02T19:04:14.644Z,384
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:04:16.000Z,2026-09-02T19:04:20.522Z,2026-09-02T19:04:20.291Z,2026-09-02T19:04:20.522Z,569,0,"{""value"":0,""timestamp"":""2026-09-02T19:04:16Z""}",,,,,,,,389
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:04:15.644Z,2026-09-02T19:04:20.732Z,2026-09-02T19:04:20.523Z,2026-09-02T19:04:20.732Z,574,0,0,b2ec8e54422458b209cc5a3212b0f91a1fd5ed978aff40b3abdc3a0f53778319,1s,AVG,b2ec8e54422458b209cc5a3212b0f91a1fd5ed978aff40b3abdc3a0f53778319,2026-09-02T19:04:12.644Z,2026-09-02T19:04:20.523Z,2026-09-02T19:04:20.523Z,394
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:04:20.000Z,2026-09-02T19:04:26.342Z,2026-09-02T19:04:26.124Z,2026-09-02T19:04:26.342Z,579,18.82352941176471,"{""value"":18.82352941176471,""timestamp"":""2026-09-02T19:04:20Z""}",,,,,,,,399
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:04:19.523Z,2026-09-02T19:04:26.548Z,2026-09-02T19:04:26.344Z,2026-09-02T19:04:26.548Z,584,18.82352941176471,18.82352941176471,de90678c95b18cf178aaeb50055e5d8afa9e04522da17f8dcb817ebe37368056,1s,AVG,de90678c95b18cf178aaeb50055e5d8afa9e04522da17f8dcb817ebe37368056,2026-09-02T19:04:18.523Z,2026-09-02T19:04:26.344Z,2026-09-02T19:04:26.344Z,404
obdEngineLoad,CAN_ENGINE_LOAD,HF_HISTORICAL,2026-09-02T19:04:22.523Z,2026-09-02T19:04:26.548Z,2026-09-02T19:04:26.344Z,2026-09-02T19:04:26.548Z,589,18.82352941176471,18.82352941176471,895673d7793ec6dae8e3c65ff3bfe40bae8e2357c7686a883aa7a958ac800cc5,1s,AVG,895673d7793ec6dae8e3c65ff3bfe40bae8e2357c7686a883aa7a958ac800cc5,2026-09-02T19:04:18.523Z,2026-09-02T19:04:26.344Z,2026-09-02T19:04:26.344Z,409
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:04:23.000Z,2026-09-02T19:04:32.120Z,2026-09-02T19:04:31.857Z,2026-09-02T19:04:32.120Z,594,18.82352941176471,"{""value"":18.82352941176471,""timestamp"":""2026-09-02T19:04:23Z""}",,,,,,,,414
