providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:21:29.000Z,2026-09-02T19:21:33.133Z,2026-09-02T19:21:32.744Z,2026-09-02T19:21:33.133Z,3478,0,"{""value"":0,""timestamp"":""2026-09-02T19:21:29Z""}",,,,,,,,2719
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:22:05.000Z,2026-09-02T19:22:08.357Z,2026-09-02T19:22:08.139Z,2026-09-02T19:22:08.357Z,3612,0,"{""value"":0,""timestamp"":""2026-09-02T19:22:05Z""}",,,,,,,,2833
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:22:38.000Z,2026-09-02T19:22:44.165Z,2026-09-02T19:22:43.806Z,2026-09-02T19:22:44.165Z,3719,0,"{""value"":0,""timestamp"":""2026-09-02T19:22:38Z""}",,,,,,,,2920
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:23:08.000Z,2026-09-02T19:23:19.285Z,2026-09-02T19:23:19.066Z,2026-09-02T19:23:19.285Z,3835,0,"{""value"":0,""timestamp"":""2026-09-02T19:23:08Z""}",,,,,,,,3016
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:23:50.000Z,2026-09-02T19:23:54.663Z,2026-09-02T19:23:54.377Z,2026-09-02T19:23:54.663Z,3973,0,"{""value"":0,""timestamp"":""2026-09-02T19:23:50Z""}",,,,,,,,3134
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:24:26.000Z,2026-09-02T19:24:29.856Z,2026-09-02T19:24:29.644Z,2026-09-02T19:24:29.856Z,4100,0,"{""value"":0,""timestamp"":""2026-09-02T19:24:26Z""}",,,,,,,,3241
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:25:01.000Z,2026-09-02T19:25:05.632Z,2026-09-02T19:25:05.352Z,2026-09-02T19:25:05.632Z,4240,0,"{""value"":0,""timestamp"":""2026-09-02T19:25:01Z""}",,,,,,,,3361
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:25:36.000Z,2026-09-02T19:25:40.836Z,2026-09-02T19:25:40.564Z,2026-09-02T19:25:40.836Z,4379,0,"{""value"":0,""timestamp"":""2026-09-02T19:25:36Z""}",,,,,,,,3480
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:26:07.000Z,2026-09-02T19:26:19.676Z,2026-09-02T19:26:19.401Z,2026-09-02T19:26:19.676Z,4501,0,"{""value"":0,""timestamp"":""2026-09-02T19:26:07Z""}",,,,,,,,3582
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:26:49.000Z,2026-09-02T19:26:54.781Z,2026-09-02T19:26:54.579Z,2026-09-02T19:26:54.781Z,4608,0,"{""value"":0,""timestamp"":""2026-09-02T19:26:49Z""}",,,,,,,,3669
